,0,1,2,3
0,-10.46802668,-7.59182483,-9.413940016,-10.59439553
0.1,-12.52389414,-14.03008551,-10.84316275,-13.97966348
0.2,-9.967396539,-9.305002841,-14.71467142,-12.77505189
0.3,-12.22016466,-11.59251522,-7.213741989,-7.211749695
0.4,-9.828473734,-8.880099634,-9.812975252,-11.09640037
0.5,-2.51065711,-6.000450775,-11.69508926,-11.68606293
0.6,-8.646696947,-9.157083976,-7.638784298,-8.856850149
0.7,-6.963609512,-5.286477952,-7.670010777,-8.277158879
0.8,-7.396027153,-2.442373842,-5.375549766,-8.128850828
0.9,-6.827563852,-8.147006763,-5.105844554,-6.260098205
1,-7.031292243,-9.418688261,-5.472082453,-5.272334435
1.1,-4.01791183,-3.694844309,-3.523138595,-4.75767108
1.2,-4.015596254,7.186370913,-4.010495963,-4.25988986
1.3,-0.715573143,-2.868264639,-0.196846424,-0.196557833
1.4,-6.401372313,-4.94068015,-4.725687509,-4.737183536
1.5,-2.945889367,-7.138158398,-5.423852347,1.089072742
1.6,-2.292913013,-2.289313741,-2.45078868,-2.485825755
1.7,-4.122450999,-3.084254205,-6.425357489,-4.267646588
1.8,-2.552338027,-2.826333458,-2.554131849,-4.822438037
1.9,-2.285489011,-2.28206528,-2.283321922,-2.519775095
2,0.101474634,9.268144051,-0.225399405,8.53475862
2.1,-1.492673784,-1.767050132,-1.493048762,-1.485353915
2.2,3.813565858,-0.839703252,0.655199511,6.319186058
2.3,-2.615362862,-2.184929009,-2.673326981,-2.614242128
2.4,1.080148717,1.192732989,1.45485329,1.459296977
2.5,3.836098588,3.585834825,4.389197232,4.381539233
2.6,0.303612413,0.583987418,0.582816536,0.584684057
2.7,-2.414601409,-1.629483042,-2.458970595,-2.173557625
2.8,-1.560245517,-1.133292587,-1.151152314,-1.484029784
2.9,-1.357804135,-1.462725863,-1.178281706,-1.356058929
3,1.566016067,5.687731685,5.248842791,6.872615335
3.1,1.165697283,0.935067621,0.995855082,0.717255483
3.2,1.94483251,0.40626742,0.941119154,0.939225532
3.3,2.196244463,2.448900894,2.201246956,7.178972028
3.4,-2.208610065,-2.205137721,-2.209706269,-1.960791711
3.5,0.141367588,0.40050346,0.140714342,0.147704409
3.6,-0.449175464,-0.644457085,-0.593003964,9.326774818
3.7,-0.531423758,-0.336224412,-0.330689524,-0.331057832
3.8,-0.320391408,-1.172076483,-1.178643064,-1.177258069
3.9,11.63085744,0.652126083,0.590604634,0.66030648
4,3.186112028,5.540078442,1.990973055,2.474680572
4.1,-2.483188742,-2.325830977,-2.482855563,-2.481921023
4.2,-0.358905632,-0.350959557,4.912171915,2.81077801
4.3,2.977097828,1.924214793,2.986673208,2.084039109
4.4,-0.427967916,0.698164113,-0.423273607,-0.429640997
4.5,-2.220706124,-1.010149099,-2.353349387,-2.348921748
4.6,-1.658567125,-1.657470219,-1.654844449,-0.513134347
4.7,-0.337021937,-0.332751984,-0.316276301,-0.332548083
4.8,0.424178482,4.216381852,0.161866998,-0.05161266
4.9,0.596767498,-0.454298067,0.782697835,0.309324639
5,-0.036967844,4.428326639,-0.119820778,-0.060255008
5.1,1.970049951,2.534922288,4.797350001,4.782974109
5.2,-2.053112526,-2.39486638,-2.04588792,-2.212561844
5.3,-2.041547132,-1.756886401,-2.044630637,-2.04117277
5.4,0.247765086,0.243574106,0.556087649,1.099116462
5.5,-2.072214804,-2.078135992,-2.078844273,-1.369934281
5.6,-1.475104846,-1.474357385,-1.473144763,-1.34663775
5.7,-1.53160589,-1.621629885,-1.620574833,-1.615959525
5.8,-2.337057911,0.662864217,-1.73428204,-2.046159312
5.9,-1.467477894,-1.473116605,-1.308534252,-1.468181469
6,-2.355811004,-2.34852118,-2.349727186,-1.578966571
6.1,-2.614317661,-2.762173983,-2.762551616,-2.763578139
6.2,-2.533188673,-0.000618421,-1.837831257,-2.305724979
6.3,-2.379138518,-1.950496141,-2.343917517,-2.381092459
6.4,-1.150723926,-1.152178821,-0.703389877,-1.155396501
6.5,-1.980201324,-1.587158626,-1.977283085,-1.977412794
6.6,-2.262766703,-3.110060603,-3.106972507,-3.104653386
6.7,0.404978109,-3.298158166,-0.117612099,-3.176778398
6.8,0.473014823,-3.939862577,-3.775067794,-3.938274545
6.9,-5.718390968,-5.720260362,-5.719218418,-5.386166078
7,-5.652932718,-6.055785583,-6.057098323,-6.056221931
